User ID,Username,Platform,Post ID,Post Text,Post Timestamp,Likes/Reactions,Comments,Shares/Retweets,Hashtags,Mentions,Media Type,Media URL,Post URL,Location,Privacy Settings,User Followers,User Following,Account Creation Date,Account Verification,User Engagement,User Interactions,User Activity,User Bio,User Description 1,User Description 2,Server Post,User Language
209,@artisticSoul,Twitter,73249,"""Expressing creativity through art!",30-07-2023 14:40,650,90,60,#ArtisticJourney,None,Text,None,http://twitter.com/artisticSoul/73249,"New York City, USA",Public,3200,600,10-02-2019,Not verified,800,4600,2 posts per week,Art enthusiast,Sketchbook wanderer,Brushstrokes and beyond,"New York City, USA",English
305,@musicAddict,Spotify,60912,"""Discovering hidden gems in music!",30-07-2023 09:20,900,110,70,#MusicDiscovery,None,Text,None,http://spotify.com/musicAddict/60912,"Los Angeles, USA",Public,7500,300,28-04-2021,Not verified,1080,8880,1 post per day,Melody seeker,Rhythm explorer,Harmonious soul,"Los Angeles, USA",English
427,@petRescuer,Instagram,14236,"""Giving furry friends a second chance!",30-07-2023 11:50,1350,280,150,#AdoptDontShop,None,Image,http://example.com/pet_rescue.jpg,http://instagram.com/petRescuer/14236,"San Francisco, USA",Public,11000,900,19-11-2016,Verified,1780,12900,3 posts per week,Animal advocate,Pet rescuer,Compassionate soul,"San Francisco, USA",English
598,@natureLover,Instagram,95641,"""Finding serenity in the beauty of nature!",30-07-2023 18:50,1220,180,100,#NatureLove,None,Image,http://example.com/nature.jpg,http://instagram.com/natureLover/95641,"Vancouver, Canada",Friends Only,7500,300,15-06-2018,Not verified,1500,9100,2 posts per week,Nature admirer,Wanderlust seeker,Outdoor enthusiast,"Vancouver, Canada",English
712,@techEnthusiast,Twitter,47560,"""Geeking out with the latest gadgets!",30-07-2023 20:15,980,120,80,#TechLover,None,Text,None,http://twitter.com/techEnthusiast/47560,"San Jose, USA",Public,12500,250,22-03-2017,Verified,1180,12750,3 posts per week,Tech geek,Gadget explorer,Digital native,"San Jose, USA",English
825,@filmCritic,YouTube,65241,"""Reviewing the latest blockbuster!",30-07-2023 15:20,740,90,60,#MovieReviews,None,Video,http://example.com/movie_review.mp4,http://youtube.com/watch65241,"Los Angeles, USA",Public,9200,800,05-01-2019,Not verified,890,10900,1 post per week,Film enthusiast,Cinema lover,Popcorn addict,"Los Angeles, USA",English
943,@fashionIcon,Instagram,30420,"""Setting trends with style!",30-07-2023 11:40,1750,320,220,#Fashionista,None,Image,http://example.com/fashion.jpg,http://instagram.com/fashionIcon/30420,"New York City, USA",Public,28000,400,10-07-2016,Verified,2290,28400,4 posts per week,Fashion enthusiast,Style influencer,Trendsetter,"New York City, USA",English
158,@gamerGeek,Twitch,74859,"""Leveling up in the gaming world!",30-07-2023 13:25,1120,180,100,#GamerLife,None,Video,http://example.com/gaming_stream.mp4,http://twitch.tv/gamerGeek/74859,"Seattle, USA",Public,6500,600,28-02-2020,Not verified,1400,7700,2 posts per week,Gaming enthusiast,RPG fanatic,Virtual world explorer,"Seattle, USA",English
101,@artLife,Instagram,84263,"""Unleashing creativity on canvas!",30-07-2023 16:35,900,120,60,#ArtisticSpirit,None,Image,http://example.com/art.jpg,http://instagram.com/artLife/84263,"Rome, Italy",Public,5500,400,18-02-2020,Not verified,1080,6980,2 posts per week,Art enthusiast,Painter by passion,Colors bring joy,"Rome, Italy",English
215,@travelBug,Twitter,32840,"""Exploring the world one city at a time!",30-07-2023 13:10,720,80,50,#TravelDiaries,None,Text,None,http://twitter.com/travelBug/32840,"Tokyo, Japan",Public,8700,300,05-04-2019,Not verified,850,9280,3 posts per week,Travel enthusiast ??,Wanderlust soul,Passport is my BFF,"Tokyo, Japan",English
303,@fitnessGuru,Facebook,92634,"""Empowering lives through fitness!",30-07-2023 12:40,1500,250,120,#FitnessMotivation,None,Image,http://example.com/fitness2.jpg,http://facebook.com/fitnessGuru/92634,"Los Angeles, USA",Friends Only,15600,600,22-08-2017,Not verified,1870,16200,4 posts per week,Fitness guru,Wellness advocate,"Strong mind, strong body","Los Angeles, USA",English
405,@petLover,Instagram,12543,"""Spreading love, one paw at a time!",30-07-2023 19:20,1080,190,80,#PetAdventures,None,Image,http://example.com/pet2.jpg,http://instagram.com/petLover/12543,"Sydney, Australia",Public,8200,450,10-10-2019,Verified,1350,9580,3 posts per week,Animal lover,Pet parent,"Adopt, don't shop","Sydney, Australia",English
518,@techWhiz,Twitter,36780,"""Decoding the secrets of technology!",30-07-2023 17:05,890,100,60,#TechInnovation,None,Text,None,http://twitter.com/techWhiz/36780,"Silicon Valley, USA",Public,13000,500,18-03-2018,Verified,1050,14250,2 posts per week,Tech enthusiast,Code wizard,Innovation explorer,"Silicon Valley, USA",English
625,@bookLover,Goodreads,75928,"""Escaping reality through the pages!",30-07-2023 10:30,460,50,30,#BookWorm,None,Text,None,http://goodreads.com/bookLover/75928,"London, UK",Public,4200,300,22-01-2020,Not verified,540,5040,1 post per day,Book addict,Literary explorer,Words weave magic,"London, UK",English
711,@foodJunkie,Instagram,69274,"""Savoring every delectable bite!",30-07-2023 16:00,970,80,60,#FoodHeaven,None,Image,http://example.com/food2.jpg,http://instagram.com/foodJunkie/69274,"New York City, USA",Public,19800,250,12-03-2016,Verified,1110,20050,4 posts per week,Food lover,Culinary explorer,Taste tester,"New York City, USA",English
802,@musicMaestro,Spotify,48720,"""Harmonizing hearts with melodies!",30-07-2023 13:50,810,90,50,#MusicMagic,None,Text,None,http://spotify.com/musicMaestro/48720,"London, UK",Public,7600,200,29-06-2019,Not verified,950,8740,3 posts per week,Music aficionado,Melody maestro,Soulful serenader,"London, UK",English
903,@adrenalineJunkie,Instagram,27549,"""Chasing thrills and adventure!",30-07-2023 11:20,780,150,100,#AdrenalineRush,None,Image,http://example.com/adrenaline.jpg,http://instagram.com/adrenalineJunkie/27549,"Sydney, Australia",Public,15200,500,19-12-2017,Not verified,1030,16300,4 posts per week,Adventure seeker,Risk-taker,Thrill addict,"Sydney, Australia",English
102,@fashionista,Twitter,81934,"""Dressing up is an art!",30-07-2023 14:05,430,60,40,#FashionPassion,None,Text,None,http://twitter.com/fashionista/81934,"Paris, France",Friends Only,8400,400,28-04-2018,Not verified,590,9040,2 posts per week,Fashion lover,Style connoisseur,Trendsetter,"Paris, France",English
210,@globeTrotter,Facebook,67482,"""Discovering the world's wonders! ?? #Wanderlust""",30-07-2023 15:40,1150,140,70,#Wanderlust,None,Image,http://example.com/travel.jpg,http://facebook.com/globeTrotter/67482,"Barcelona, Spain",Public,12500,300,08-05-2019,Verified,1360,13900,3 posts per week,Adventurer,Culture seeker,Passport stamp collector,"Barcelona, Spain",English
311,@foodExplorer,Instagram,59243,"""Culinary delights from around the globe!",30-07-2023 12:25,760,90,60,#FoodAdventures,None,Image,http://example.com/food3.jpg,http://instagram.com/foodExplorer/59243,"Tokyo, Japan",Public,6200,400,12-06-2020,Not verified,930,7130,2 posts per week,Food enthusiast,Street food lover,Tasting the world,"Tokyo, Japan",English
402,@fitAndFab,Twitter,84380,"""Determined to stay fit and fabulous!",30-07-2023 18:35,980,120,80,#FitnessJourney,None,Text,None,http://twitter.com/fitAndFab/84380,"Los Angeles, USA",Public,14800,400,22-03-2018,Not verified,1100,13200,3 posts per week,Fitness enthusiast,Wellness warrior,Strong is beautiful,"Los Angeles, USA",English
522,@natureExplorer,Facebook,27684,"""Immersed in nature's beauty!",30-07-2023 19:00,680,70,40,#NatureWanderer,None,Image,http://example.com/nature2.jpg,http://facebook.com/natureExplorer/27684,"Sydney, Australia",Friends Only,8400,600,15-09-2017,Not verified,790,8990,2 posts per week,Nature lover,Wilderness seeker,Nature's companion,"Sydney, Australia",English
618,@petAdvocate,Instagram,94728,"""Giving a voice to the voiceless!",30-07-2023 09:55,1450,250,120,#AnimalRights,None,Image,http://example.com/animal.jpg,http://instagram.com/petAdvocate/94728,"London, UK",Friends Only,6400,500,10-11-2018,Not verified,1820,8400,1 post per day,Animal advocate,Pet lover,Compassion is key,"London, UK",English
725,@gameChanger,Twitch,12462,"""Redefining the gaming experience!",30-07-2023 14:00,880,90,50,#GameChanger,None,Video,http://example.com/gaming.mp4,http://twitch.tv/gameChanger/12462,"San Francisco, USA",Public,5800,800,15-12-2020,Not verified,1020,6720,4 posts per week,Gaming visionary,VR explorer,Next-level gamer,"San Francisco, USA",English
817,@fashionGuru,YouTube,23879,"""Unlocking the secrets of style!",30-07-2023 12:10,520,70,40,#FashionInsider,None,Video,http://example.com/fashion.mp4,http://youtube.com/watch23879,"Paris, France",Public,7400,300,25-07-2021,Not verified,630,5540,3 posts per week,Fashionista,Trend spotter,Runway observer,"Paris, France",English
940,@bookNerd,Goodreads,82714,"""Getting lost in the magic of books!",30-07-2023 16:25,370,50,30,#BookObsession,None,Text,None,http://goodreads.com/bookNerd/82714,"New York City, USA",Public,6400,350,12-08-2020,Not verified,450,5120,2 posts per week,Bookworm,Literary enthusiast,Words are my refuge,"New York City, USA",English
108,@fitnessFreak,Twitter,95128,"""Pushing boundaries for a fitter tomorrow!",30-07-2023 20:00,760,110,70,#FitnessJunkie,None,Text,None,http://twitter.com/fitnessFreak/95128,"Los Angeles, USA",Public,9300,200,18-09-2020,Not verified,940,8020,1 post per day,Fitness fanatic,Workout warrior,Health is wealth,"Los Angeles, USA",English
201,@foodieJourney,Instagram,80347,"""Embarking on a culinary journey!",30-07-2023 18:25,590,80,50,#FoodExplorer,None,Image,http://example.com/food4.jpg,http://instagram.com/foodieJourney/80347,"Barcelona, Spain",Friends Only,4700,450,28-01-2019,Not verified,720,6230,3 posts per week,Foodie at heart,Tasting cultures,Culinary storyteller,"Barcelona, Spain",English
305,@techGeek,Facebook,20983,"""Unraveling the marvels of technology!",30-07-2023 12:50,670,110,50,#TechEnthusiast,None,Image,http://example.com/tech.jpg,http://facebook.com/techGeek/20983,"Silicon Valley, USA",Friends Only,18500,500,11-01-2016,Verified,830,20200,4 posts per week,Tech geek,Coding wizard,Futurist,"Silicon Valley, USA",English
